id	q_item_id	q_scale_id	q_measure_id	keying	created_at	updated_at
60	20	12	1	1	2011-07-19 18:03:32	2011-07-19 18:03:32
61	44	13	1	1	2011-07-19 18:03:32	2011-07-19 18:03:32
62	46	13	1	1	2011-07-19 18:03:32	2011-07-19 18:03:32
63	106	13	1	1	2011-07-19 18:03:32	2011-07-19 18:03:32
64	79	13	1	-1	2011-07-19 18:03:32	2011-07-19 18:03:32
65	73	13	1	1	2011-07-19 18:03:32	2011-07-19 18:03:32
66	47	14	1	-1	2011-07-19 18:03:32	2011-07-19 18:03:32
67	95	14	1	-1	2011-07-19 18:03:32	2011-07-19 18:03:32
68	70	14	1	-1	2011-07-19 18:03:32	2011-07-19 18:03:32
69	28	14	1	-1	2011-07-19 18:03:32	2011-07-19 18:03:32
70	158	14	1	-1	2011-07-19 18:03:32	2011-07-19 18:03:32
71	48	15	1	1	2011-07-19 18:03:32	2011-07-19 18:03:32
72	144	15	1	1	2011-07-19 18:03:32	2011-07-19 18:03:32
73	152	15	1	-1	2011-07-19 18:03:32	2011-07-19 18:03:32
74	81	15	1	1	2011-07-19 18:03:32	2011-07-19 18:03:32
75	22	15	1	1	2011-07-19 18:03:32	2011-07-19 18:03:32
76	137	16	1	1	2011-07-19 18:03:32	2011-07-19 18:03:32
77	66	16	1	1	2011-07-19 18:03:32	2011-07-19 18:03:32
78	81	16	1	1	2011-07-19 18:03:32	2011-07-19 18:03:32
79	110	16	1	1	2011-07-19 18:03:32	2011-07-19 18:03:32
80	144	16	1	1	2011-07-19 18:03:32	2011-07-19 18:03:32
81	25	17	1	1	2011-07-19 18:03:32	2011-07-19 18:03:32
82	4	17	1	1	2011-07-19 18:03:32	2011-07-19 18:03:32
83	124	17	1	1	2011-07-19 18:03:32	2011-07-19 18:03:32
84	145	17	1	-1	2011-07-19 18:03:32	2011-07-19 18:03:32
85	48	17	1	1	2011-07-19 18:03:32	2011-07-19 18:03:32
86	25	18	1	1	2011-07-19 18:03:32	2011-07-19 18:03:32
87	14	18	1	1	2011-07-19 18:03:32	2011-07-19 18:03:32
88	81	18	1	1	2011-07-19 18:03:32	2011-07-19 18:03:32
89	180	18	1	1	2011-07-19 18:03:32	2011-07-19 18:03:32
90	137	18	1	1	2011-07-19 18:03:32	2011-07-19 18:03:32
91	49	19	1	-1	2011-07-19 18:03:32	2011-07-19 18:03:32
92	57	19	1	-1	2011-07-19 18:03:32	2011-07-19 18:03:32
93	125	19	1	-1	2011-07-19 18:03:32	2011-07-19 18:03:32
94	123	19	1	-1	2011-07-19 18:03:32	2011-07-19 18:03:32
95	1	19	1	1	2011-07-19 18:03:32	2011-07-19 18:03:32
96	96	20	1	-1	2011-07-19 18:03:32	2011-07-19 18:03:32
97	117	20	1	-1	2011-07-19 18:03:32	2011-07-19 18:03:32
98	57	20	1	-1	2011-07-19 18:03:32	2011-07-19 18:03:32
99	101	20	1	1	2011-07-19 18:03:32	2011-07-19 18:03:32
100	164	20	1	1	2011-07-19 18:03:32	2011-07-19 18:03:32
101	145	21	1	-1	2011-07-19 18:03:32	2011-07-19 18:03:32
102	161	21	1	-1	2011-07-19 18:03:32	2011-07-19 18:03:32
103	72	21	1	-1	2011-07-19 18:03:32	2011-07-19 18:03:32
104	1	21	1	1	2011-07-19 18:03:32	2011-07-19 18:03:32
105	164	21	1	1	2011-07-19 18:03:32	2011-07-19 18:03:32
106	97	22	1	-1	2011-07-19 18:03:32	2011-07-19 18:03:32
107	17	22	1	-1	2011-07-19 18:03:32	2011-07-19 18:03:32
108	9	22	1	-1	2011-07-19 18:03:32	2011-07-19 18:03:32
109	49	22	1	-1	2011-07-19 18:03:32	2011-07-19 18:03:32
110	131	22	1	-1	2011-07-19 18:03:32	2011-07-19 18:03:32
111	126	23	1	1	2011-07-19 18:03:32	2011-07-19 18:03:32
112	136	23	1	-1	2011-07-19 18:03:32	2011-07-19 18:03:32
113	165	23	1	-1	2011-07-19 18:03:32	2011-07-19 18:03:32
114	33	23	1	-1	2011-07-19 18:03:32	2011-07-19 18:03:32
115	14	23	1	1	2011-07-19 18:03:32	2011-07-19 18:03:32
116	6	24	1	1	2011-07-19 18:03:32	2011-07-19 18:03:32
117	99	24	1	1	2011-07-19 18:03:32	2011-07-19 18:03:32
118	123	24	1	-1	2011-07-19 18:03:32	2011-07-19 18:03:32
119	133	24	1	1	2011-07-19 18:03:32	2011-07-19 18:03:32
120	37	24	1	-1	2011-07-19 18:03:32	2011-07-19 18:03:32
121	50	25	1	1	2011-07-19 18:03:32	2011-07-19 18:03:32
122	40	25	1	-1	2011-07-19 18:03:32	2011-07-19 18:03:32
123	24	25	1	-1	2011-07-19 18:03:32	2011-07-19 18:03:32
124	77	25	1	1	2011-07-19 18:03:32	2011-07-19 18:03:32
125	11	25	1	-1	2011-07-19 18:03:32	2011-07-19 18:03:32
126	19	26	1	1	2011-07-19 18:03:32	2011-07-19 18:03:32
127	127	26	1	1	2011-07-19 18:03:32	2011-07-19 18:03:32
128	10	26	1	1	2011-07-19 18:03:32	2011-07-19 18:03:32
129	177	26	1	1	2011-07-19 18:03:32	2011-07-19 18:03:32
130	77	26	1	1	2011-07-19 18:03:32	2011-07-19 18:03:32
131	51	27	1	-1	2011-07-19 18:03:32	2011-07-19 18:03:32
132	77	27	1	1	2011-07-19 18:03:32	2011-07-19 18:03:32
133	34	27	1	-1	2011-07-19 18:03:32	2011-07-19 18:03:32
134	123	27	1	-1	2011-07-19 18:03:32	2011-07-19 18:03:32
